"Program","Year","Period","State","State ANSI","Strawberries","type","items","units","Domain","Domain Category","Value","CV (%)"
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)",4400,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",11000,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",222600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",300,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",13700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",20800,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",9200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",1000,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",2900,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",2300,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",2900,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",4500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)",32100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",2200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",8700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",14100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",3500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",637100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",6700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)",1035100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",1900,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",5600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",3000,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",15600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)",19600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",300,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",2500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",3300,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",1500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",6200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)",2700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",1400,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFENÂ = 138831)",3200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)",4600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)",4100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)",2100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)",1100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)",2900,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)",21100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)",2500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)",10200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)",1700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)",193500,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)",3200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)",1400,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)",2200,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)",700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROMESIFEN = 24875)",2900,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)",700,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)",279600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CHLOROPICRIN = 81501)",5589100,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)",817000,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (FLUTRIAFOL = 128940)",1600,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)",3000,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)",6966400,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",0.227,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)",0.533,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",0.352,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",1.659,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",0.022,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",0.327,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",0.715,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",0.218,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",0.124,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",0.177,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",0.471,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",0.115,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",0.297,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",0.044,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)",2.392,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",0.112,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",0.178,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",0.658,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",0.096,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",3.712,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",0.037,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",0.826,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",0.108,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",0.234,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",0.091,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",0.467,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",1.382,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",0.019,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",0.294,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",0.124,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",0.037,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",0.499,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)",0.107,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",0.061,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFENÂ = 138831)",0.179,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)",0.293,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)",0.086,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)",0.182,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)",0.188,NA
"SURVEY",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)",0.477,NA
